Date,PRECTOTCORR,WS2M,T2M_RANGE,T2M_MAX,T2M_MIN,PS,ALLSKY_SFC_SW_DWN,RH2M,T2MDEW,RainStatus
2/12/1986,0,1.46,14.74,36.2,21.46,101.07,23.42,44.87,13.8,0
2/13/1986,0,1.71,15.29,36.95,21.66,101,23.41,47.72,15.38,0
2/14/1986,0,2.39,14.13,37.73,23.6,100.96,23.39,50.58,17.8,0
2/15/1986,0,2.28,13.74,38.32,24.58,100.83,23.55,51.69,18.91,0
2/16/1986,0,3.05,13.37,38.69,25.32,100.79,23.33,52.62,19.43,0
2/17/1986,0,2.53,13.86,38.98,25.12,100.85,23.22,49.45,18.15,0
2/18/1986,0,2.15,14.95,39.59,24.64,100.83,22.07,49.51,18.35,0
2/19/1986,0,1.78,14.77,40.14,25.37,100.67,22.39,46.68,18.17,0
2/20/1986,0.01,2.58,11.81,38.61,26.8,100.77,23.26,47.19,18.63,1
2/21/1986,0.41,2.28,10.24,35.19,24.95,101.01,22.07,52.39,17.95,1
2/22/1986,0,2.34,12.19,37.19,25,100.95,16.11,50.5,17.95,0
2/23/1986,0.03,1.93,12.74,37.26,24.52,100.85,23.25,47.2,17.42,1
2/24/1986,0.62,2.55,12.2,36.83,24.63,100.82,23.46,46.24,16.6,1
2/25/1986,0,2.33,14.55,37.39,22.84,100.88,23.22,43.86,14.61,0
2/26/1986,0,2.27,14.84,37.53,22.69,100.95,25.05,46.41,14.53,0
2/27/1986,0,2.43,16.29,38.06,21.77,100.89,25.27,45.39,13.46,0
2/28/1986,0,2.19,15.24,37.64,22.4,100.9,23.94,46.25,14.44,0
3/1/1986,0,3.42,15.08,37.35,22.27,101.02,24.58,42.3,13.85,0
3/2/1986,0,5.29,12.44,34.42,21.98,101.32,18.78,37.09,10.92,0
3/3/1986,0,4.89,13.7,32.13,18.43,101.42,25.41,35.88,8.28,0
3/4/1986,0,3.74,15.91,33.3,17.39,101.29,25.23,38.43,8.69,0
3/5/1986,0,3.22,15.64,34.33,18.69,101.19,23.02,36.52,9.32,0
3/6/1986,0,2.54,15.95,36.42,20.47,101.14,25.93,41.61,13.74,0
3/7/1986,0,2.81,14.09,37.72,23.63,101.04,25.24,42.14,15.4,0
3/8/1986,0,2.46,13.98,38.4,24.42,100.97,23.97,43.63,16.18,0
3/9/1986,0,2.16,15.23,39.06,23.83,100.98,24.22,42.97,15.68,0
3/10/1986,0,2.35,15.69,40,24.31,100.9,24.42,45.36,17.5,0
3/11/1986,0,2.85,13.28,38.89,25.61,100.85,23.02,44.95,17.73,0
3/12/1986,0,3.09,13.37,39,25.63,100.79,19.34,48.25,18.98,0
3/13/1986,0,2.79,13.81,40.13,26.32,100.73,22.99,46.54,19.07,0
3/14/1986,0,2.9,13.24,40.37,27.13,100.61,23.12,43.02,18.35,0
3/15/1986,0,3.25,14.01,40.64,26.63,100.5,23.71,46.92,19.34,0
3/16/1986,0,2.9,14.43,41.17,26.74,100.48,19.67,45.54,18.82,0
3/17/1986,0,2.96,14.24,41.06,26.82,100.57,25.47,46.18,19.05,0
3/18/1986,0,3.67,12.87,39.9,27.03,100.48,24.81,48.58,19.74,0
3/19/1986,0,3.06,13.14,40.65,27.51,100.38,24.51,45.94,19.09,0
3/20/1986,0,3.06,11.43,38.27,26.84,100.43,25.19,54.6,21.19,0
3/21/1986,0,2.94,13.75,40.55,26.8,100.52,23.92,50.32,20.1,0
3/22/1986,0,3.39,14.63,41.47,26.84,100.52,24.11,44.75,18.72,0
3/23/1986,0,3.25,13.56,40.51,26.95,100.61,23.4,44.12,18.47,0
3/24/1986,0.93,3.31,13.49,40.23,26.74,100.64,24.45,44.86,18.27,1
3/25/1986,0.14,2.2,12.8,39.17,26.37,100.75,24.37,45.33,18.74,1
3/26/1986,0.01,3.66,13.42,40.03,26.61,100.83,24.27,45.78,18.62,1
3/27/1986,0.09,2.83,14.95,40.4,25.45,100.87,24.18,45.27,18.22,1
3/28/1986,0.06,3.66,13.44,40.68,27.24,100.73,24.57,48.73,20.19,1
3/29/1986,0,3.41,12.85,40.28,27.43,100.63,24.62,49.29,19.94,0
3/30/1986,0,3.59,13.95,40.82,26.87,100.61,24.57,50.51,20.47,0
3/31/1986,0,2.78,12.23,39.94,27.71,100.6,23.93,48.55,20.03,0
4/1/1986,0.04,2.33,9.41,37.43,28.02,100.74,25.44,51.81,20.83,1
4/2/1986,0,2.88,10.32,38.16,27.84,100.82,25.54,48.98,20.08,0
4/3/1986,0,3.02,12.11,39.52,27.41,100.75,25.7,46.64,19.69,0
4/4/1986,1.16,3.62,11.81,39.13,27.32,100.8,25.67,47.59,19.44,1
4/5/1986,0.56,2.38,10.9,37.37,26.47,100.85,25.41,49.38,19.34,1
4/6/1986,0.07,2.76,13.2,39.92,26.72,100.82,25.18,45.42,18.47,1
4/7/1986,0,2.29,13.83,40.28,26.45,100.78,25.72,43.16,17.32,0
4/8/1986,0.06,2.26,12.16,39.4,27.24,100.67,20.32,45.25,18.4,1
4/9/1986,2.62,2.33,12.98,39.97,26.99,100.68,23.3,49.31,20.01,1
4/10/1986,0.75,2.24,9.21,37.34,28.13,100.84,22.86,52.75,20.91,1
4/11/1986,1.47,1.78,9.14,36.26,27.12,100.87,19.83,55.74,21.26,1
4/12/1986,1.34,2.36,11.56,38.08,26.52,100.84,18.33,50.71,19.8,1
4/13/1986,1.83,2.46,11.27,38.72,27.45,100.9,21.39,50.13,19.56,1
4/14/1986,0.55,1.79,9.03,35.06,26.03,100.97,24.73,53.53,19.77,1
4/15/1986,0.55,2.51,11.29,37.84,26.55,100.92,25.74,46.75,18.57,1
4/16/1986,0.93,2.8,11.7,37.65,25.95,100.81,21.09,53.96,20.64,1
4/17/1986,0,2.53,11.81,38.27,26.46,100.68,23.37,52.79,20.42,0
4/18/1986,0,2.17,10.53,38.07,27.54,100.69,22.9,50.55,20.17,0
4/19/1986,0.02,1.52,7.72,35.64,27.92,100.76,19.77,52.98,20.39,1
4/20/1986,0.61,1.71,9.04,36.78,27.74,100.58,23.71,52.92,20.92,1
4/21/1986,0.02,1.81,9.68,37.35,27.67,100.57,18.5,50.93,20.31,1
4/22/1986,1.23,1.8,10.57,38.21,27.64,100.61,16.19,48.63,20.23,1
4/23/1986,2.9,2.18,6.93,34.85,27.92,100.62,24.12,54.1,20.57,1
4/24/1986,0.14,1.55,10.52,37.91,27.39,100.62,24.82,53.12,20.81,1
4/25/1986,0.02,1.99,9.05,36.54,27.49,100.7,18.76,56.39,20.96,1
4/26/1986,1.49,2.2,12.06,38.56,26.5,100.63,24.51,52.5,20.7,1
4/27/1986,0.15,1.9,4.25,30.62,26.37,100.73,19.96,64.7,21.45,1
4/28/1986,0,1.65,12.79,38.36,25.57,100.55,24.84,50.98,19.76,0
4/29/1986,0,2.67,13.05,39.32,26.27,100.59,21.93,45.35,18.6,0
4/30/1986,0.1,2.09,12.38,39.44,27.06,100.66,24.54,48.01,19.9,1
5/1/1986,0.26,1.77,9.85,37.45,27.6,100.6,24.57,50.37,20.34,1
5/2/1986,3.18,1.52,11.83,39.07,27.24,100.53,21.95,51.6,20.92,1
5/3/1986,0.62,2.22,5.16,31.72,26.56,100.63,22.51,67.95,22.55,1
5/4/1986,2.28,1.48,8.59,34.35,25.76,100.68,13.67,66.72,22.86,1
5/5/1986,4.14,1.74,10.37,36.76,26.39,100.63,21.01,61.65,22.17,1
5/6/1986,0.11,1.48,11.79,38.27,26.48,100.6,25.74,60.15,22.09,1
5/7/1986,0.61,2.19,10.91,37.69,26.78,100.56,19.41,56.61,21.52,1
5/8/1986,7.12,3.19,7.59,34.38,26.79,100.68,14.79,66.31,22.57,1
5/9/1986,16.35,3.56,7.07,32.69,25.62,100.65,14.16,74.33,23.48,1
5/10/1986,4.89,3.19,7.21,32.34,25.13,100.63,13.39,76.04,23.24,1
5/11/1986,7.87,2.45,7.77,32.68,24.91,100.68,12.96,79.62,23.99,1
5/12/1986,1.6,2.18,7.75,32.57,24.82,100.78,22.01,76.4,23.51,1
5/13/1986,0.96,2.02,11.69,36.76,25.07,100.78,23.29,66.69,22.49,1
5/14/1986,0.03,2.95,12.98,38.19,25.21,100.7,26.27,62.54,21.66,1
5/15/1986,0,2.99,9.05,34.08,25.03,100.63,22.4,70.6,23.02,0
5/16/1986,2.85,3.97,10.05,35.33,25.28,100.6,18.04,68.96,22.42,1
5/17/1986,16.76,2.98,6.43,31.24,24.81,100.45,19.67,80.09,23.44,1
5/18/1986,9.01,3.32,5.14,30.02,24.88,100.38,14.3,81.82,23.46,1
5/19/1986,8.46,3.8,9.85,33.91,24.06,100.5,18.04,73.31,22.44,1
5/20/1986,2.76,3.92,7.99,32.66,24.67,100.51,18.37,76.73,23.17,1
5/21/1986,5.12,3.7,7.2,32.15,24.95,100.55,14.06,79.46,23.69,1
5/22/1986,12.72,3.3,5.55,30.41,24.86,100.57,14.19,86.29,24.59,1
5/23/1986,5.66,3.33,6.19,31.17,24.98,100.59,16.49,81.67,23.75,1
5/24/1986,5.75,3.28,6.68,31.04,24.36,100.53,16.27,82.54,23.92,1
5/25/1986,0.75,3.27,6.7,31.86,25.16,100.54,16.68,78.95,23.57,1
5/26/1986,0.04,3.2,9.3,33.56,24.26,100.56,18,73.53,22.98,1
5/27/1986,0.58,3.67,8.09,33.13,25.04,100.63,21.01,77.66,23.96,1
5/28/1986,0.12,2.93,7.97,32.95,24.98,100.75,24.06,75.83,23.54,1
5/29/1986,0.54,2.68,9.54,34.34,24.8,100.66,22.73,73.36,23.23,1
5/30/1986,3.97,2.84,8.14,32.85,24.71,100.61,20.13,76.36,23.43,1
5/31/1986,0,2.87,9.88,34.47,24.59,100.6,22.59,73.59,23.32,0
6/1/1986,0.45,2.91,8.07,32.78,24.71,100.62,22.64,76.62,23.7,1
6/2/1986,4.65,2.44,6.64,32.03,25.39,100.55,22,80.65,24.29,1
6/3/1986,0.4,2.69,8.36,33.25,24.89,100.37,22.51,76.86,23.81,1
6/4/1986,5.28,2.91,8.38,33.25,24.87,100.33,24,78.5,24.15,1
6/5/1986,19.41,2.59,5.39,30.39,25,100.49,22.01,86.68,24.67,1
6/6/1986,5.49,2.39,7.11,31.3,24.19,100.55,20.99,82.62,23.88,1
6/7/1986,5.16,2.33,9.35,33.38,24.03,100.62,22.91,76.92,23.55,1
6/8/1986,0.65,1.6,11.99,35.6,23.61,100.61,24.11,70.98,23.21,1
6/9/1986,0.13,1.14,9.17,34.31,25.14,100.54,24.18,72.16,23.65,1
6/10/1986,1.13,1.75,7.62,33.18,25.56,100.43,22.62,74.69,23.55,1
6/11/1986,2.78,1.85,11.13,35.92,24.79,100.34,19.88,71.71,23.21,1
6/12/1986,3.43,2.03,8.79,33.48,24.69,100.34,19.96,76.24,23.52,1
6/13/1986,2.81,2.41,7.53,32.47,24.94,100.47,16.56,77.58,23.46,1
6/14/1986,0.04,1,10.16,34.58,24.42,100.49,25.84,69.67,22.57,1
6/15/1986,0.02,1.5,9.84,35.05,25.21,100.42,20.72,68.93,23.1,1
6/16/1986,0.52,1.53,6.95,32.15,25.2,100.41,24.21,74.61,23.19,1
6/17/1986,3.68,2.14,8.53,33.49,24.96,100.43,24.15,76.6,23.93,1
6/18/1986,3.76,2.52,6.82,31.66,24.84,100.4,17.63,81.18,24.14,1
6/19/1986,5.25,2.22,6.55,31.11,24.56,100.49,16.14,81.68,23.77,1
6/20/1986,7.02,2,9.73,33.55,23.82,100.61,21.92,75.08,22.57,1
6/21/1986,2.49,2.49,10.08,33.53,23.45,100.63,17.69,76.38,22.73,1
6/22/1986,10.36,2.66,9.04,32.84,23.8,100.54,22.66,80.27,23.75,1
6/23/1986,5.25,3.06,5.97,30.55,24.58,100.53,20.76,81.54,23.25,1
6/24/1986,50.71,2.75,4.5,28.75,24.25,100.64,16.06,87.92,23.63,1
6/25/1986,18.86,2.52,3.99,27.91,23.92,100.8,17.98,89.37,23.68,1
6/26/1986,4.21,2.34,6.82,30.35,23.53,100.75,19.58,85.66,23.6,1
6/27/1986,7.46,2.22,8.93,31.64,22.71,100.75,17.83,83.47,23.75,1
6/28/1986,3.25,2.24,6.9,30.71,23.81,100.65,21.77,84.84,24.1,1
6/29/1986,0.21,1.62,7.38,31.27,23.89,100.62,24.46,83.71,24.43,1
6/30/1986,0.5,1.89,7.05,31.61,24.56,100.57,24.11,82.43,24.56,1
7/1/1986,2.51,2.38,7.7,31.85,24.15,100.64,17.98,83.69,24.41,1
7/2/1986,0.31,3,4.65,29.54,24.89,100.69,23.91,83.89,23.87,1
7/3/1986,1.56,2.62,7.66,31.38,23.72,100.61,22.29,83.28,23.99,1
7/4/1986,2.39,3.29,6.38,31.23,24.85,100.63,24.09,84.81,24.32,1
7/5/1986,1.14,3.3,6.97,30.96,23.99,100.75,16.23,83.15,23.41,1
7/6/1986,3.36,2.57,9.44,32.69,23.25,100.71,24.9,79.19,23.34,1
7/7/1986,0.1,2.39,9.81,33.25,23.44,100.72,23.28,78.3,23.62,1
7/8/1986,0.54,1.96,7.35,31.5,24.15,100.73,24.04,81.54,23.88,1
7/9/1986,1.69,2.62,5.74,30.32,24.58,100.53,19.05,84.68,24.09,1
7/10/1986,2.32,3.28,7.07,31.61,24.54,100.42,18.53,81.7,23.4,1
7/11/1986,5.6,2.96,4.35,28.67,24.32,100.47,17.94,88.39,24.02,1
7/12/1986,2.43,2.53,6.4,30.21,23.81,100.61,13.62,85.08,23.75,1
7/13/1986,6.03,3.1,7.49,30.88,23.39,100.57,18.02,85.46,24,1
7/14/1986,6.27,2.69,5.61,29.48,23.87,100.5,18.25,86.22,23.47,1
7/15/1986,41.76,2.59,6.37,29.73,23.36,100.52,20.42,86.34,23.43,1
7/16/1986,9.1,2.56,6.51,29.89,23.38,100.63,17.23,87.29,23.56,1
7/17/1986,4.49,2.54,6.3,29.58,23.28,100.71,14.63,86.63,23.5,1
7/18/1986,8.62,2.74,5.16,29.12,23.96,100.6,20.52,88.73,24.11,1
7/19/1986,21.51,3.26,4.97,29.24,24.27,100.61,21.88,89.37,24.28,1
7/20/1986,0.42,3.32,4.67,27.93,23.26,100.75,17.73,89.73,23.26,1
7/21/1986,0.26,1.88,9.65,31.62,21.97,100.86,18.67,80.38,22.75,1
7/22/1986,0.18,1.35,8.76,32.01,23.25,100.89,17.04,77.61,22.87,1
7/23/1986,1.97,1.79,8.01,31.51,23.5,100.85,18.93,81.18,23.14,1
7/24/1986,3.35,1.26,7.65,31.12,23.47,100.83,23.23,80.71,23.35,1
7/25/1986,0.9,1.59,4.76,28.85,24.09,100.9,21.05,85.45,23.52,1
7/26/1986,2.77,1.85,6.46,29.74,23.28,100.96,21.38,86.19,23.57,1
7/27/1986,0.26,1.12,9.48,32.33,22.85,100.99,24.38,75.56,22.64,1
7/28/1986,0.77,1.44,8.2,31.9,23.7,100.88,23.19,78.38,23.42,1
7/29/1986,0.05,1.28,8.2,31.79,23.59,100.82,23.12,78.15,23.16,1
7/30/1986,0.12,1.94,9.34,32.96,23.62,100.84,20.94,74.66,22.56,1
7/31/1986,0.96,1.93,7.85,31.37,23.52,100.77,13.16,80.85,23.09,1
8/1/1986,9.25,2.48,7.02,30.03,23.01,100.59,21.83,86.4,23.49,1
8/2/1986,10.17,2.33,5.68,29.39,23.71,100.42,17.18,87.63,23.92,1
8/3/1986,5.32,2.75,6.78,30.49,23.71,100.37,21.65,85.5,23.86,1
8/4/1986,13.1,2.97,5.45,29.65,24.2,100.39,15.4,88.78,24.15,1
8/5/1986,16.05,2.33,4.97,28.78,23.81,100.48,18.52,89.57,23.92,1
8/6/1986,36.51,2.47,6.75,30.17,23.42,100.42,19.97,88.14,24.35,1
8/7/1986,26.28,2.36,5.04,29.08,24.04,100.44,14.32,89.73,24.39,1
8/8/1986,5.05,2.28,5.14,29.28,24.14,100.48,15.47,89.26,24.09,1
8/9/1986,12.55,2.61,5.11,28.59,23.48,100.34,11.79,89.36,23.87,1
8/10/1986,13.11,3.07,4.57,28.25,23.68,100.36,14.2,91.1,23.99,1
8/11/1986,9.73,3.38,5.8,29.56,23.76,100.42,15.44,88.3,24.01,1
8/12/1986,8.36,2.99,6.14,29.78,23.64,100.56,11.76,87.78,23.94,1
8/13/1986,2.76,2.31,6.46,29.95,23.49,100.55,20.89,87.56,24.25,1
8/14/1986,9.8,3.07,3.32,27.56,24.24,100.44,14.93,91.25,24.22,1
8/15/1986,16.7,2.36,4.7,28.04,23.34,100.5,13.12,90.93,23.92,1
8/16/1986,5.2,2.75,6.14,29.39,23.25,100.66,15.95,88.72,23.62,1
8/17/1986,3.06,2.9,5.55,28.52,22.97,100.64,10.73,87.63,22.94,1
8/18/1986,14.33,1.98,6.46,28.76,22.3,100.65,16.25,88.69,23.49,1
8/19/1986,12.52,2.68,5.28,29.16,23.88,100.64,17.81,89.5,24,1
8/20/1986,6.91,2.53,5.69,29.65,23.96,100.52,14.35,88.52,24.39,1
8/21/1986,4.44,3.18,5.92,29.88,23.96,100.47,16.25,88,24.04,1
8/22/1986,32.07,2.84,5.57,29.23,23.66,100.62,16.75,89.34,24.15,1
8/23/1986,9.61,1.91,6.38,29.93,23.55,100.73,20.23,88.95,24.42,1
8/24/1986,0.56,2.55,9.03,31.54,22.51,100.64,22.53,85.13,24.01,1
8/25/1986,3.41,2.54,5.77,29.34,23.57,100.5,15.67,90.79,24.41,1
8/26/1986,1.36,2.43,5.72,29.45,23.73,100.41,15.69,88.67,24.09,1
8/27/1986,5.52,2.52,4.21,28.14,23.93,100.49,19.57,92.02,24.38,1
8/28/1986,1.34,2.55,5.54,29.07,23.53,100.66,17.58,88.56,24.07,1
8/29/1986,0.04,2.56,5.01,28.98,23.97,100.82,13.6,89.38,23.97,1
8/30/1986,7.93,2.74,7.04,30.02,22.98,100.7,20.76,88.57,24.28,1
8/31/1986,1.08,2.78,5.74,29.81,24.07,100.71,23.19,88.35,24.35,1
9/1/1986,2.21,2.3,7.68,30.67,22.99,100.79,22.4,86.71,24.11,1
9/2/1986,4.36,2.53,6.14,29.9,23.76,100.71,17.61,89.39,24.62,1
9/3/1986,8.17,3.14,4.07,28.64,24.57,100.53,13.37,91.03,24.63,1
9/4/1986,9.9,3.03,4.59,28.65,24.06,100.41,15.73,89.85,24.06,1
9/5/1986,4.22,2.66,4.54,28.29,23.75,100.39,12.77,90.49,24.11,1
9/6/1986,4.88,3.18,3.75,28.04,24.29,100.5,14.34,92.13,24.45,1
9/7/1986,11.49,1.65,4.17,28.46,24.29,100.54,17.21,90.54,24.35,1
9/8/1986,5.36,2.4,4.02,27.72,23.7,100.69,15.37,91.59,23.83,1
9/9/1986,6.49,1.8,4.68,27.54,22.86,100.69,11.83,92.78,23.68,1
9/10/1986,6.41,2.08,5.28,28.25,22.97,100.92,14.19,90.04,23.55,1
9/11/1986,0.15,1.03,8.32,31.09,22.77,100.99,23.96,81.96,23.35,1
9/12/1986,5.77,0.94,6.4,30.13,23.73,100.94,21.52,85.31,24.05,1
9/13/1986,10.81,1.29,4.97,29.03,24.06,100.9,18.57,86.59,23.7,1
9/14/1986,3.67,0.85,7.95,30.99,23.04,100.79,20.56,81.74,23.58,1
9/15/1986,3.13,1.58,7.76,31.14,23.38,100.74,21.24,84.98,24.09,1
9/16/1986,2.11,2.31,6.31,29.99,23.68,100.78,21.39,87.88,24.28,1
9/17/1986,0.13,1.75,6.28,30.1,23.82,100.77,18.24,85.92,24.05,1
9/18/1986,1.18,1.85,6.39,30.13,23.74,100.75,20.42,84.53,23.8,1
9/19/1986,6.65,1.79,7.33,30.89,23.56,100.68,19.37,85.44,24.04,1
9/20/1986,11.3,1.54,5.65,29.48,23.83,100.72,15.21,85.67,23.68,1
9/21/1986,3.79,1.51,6.27,29.73,23.46,100.8,18.34,86.7,23.95,1
9/22/1986,8.11,1.56,6.98,30.37,23.39,100.96,16.84,87.09,24.29,1
9/23/1986,2.74,1.49,5.4,29.29,23.89,100.99,17.08,89.09,24.29,1
9/24/1986,5.51,1.86,6.16,29.72,23.56,100.84,13.87,88.58,24.41,1
9/25/1986,9.33,0.86,4.52,28.57,24.05,100.78,20.31,88.34,24.13,1
9/26/1986,15.61,0.62,4.56,28.69,24.13,100.79,17.37,85.28,23.77,1
9/27/1986,1.63,1.54,5.99,30.13,24.14,101,18.44,84.62,23.99,1
9/28/1986,3.47,0.97,8.2,31.62,23.42,100.95,16.67,81.99,23.8,1
9/29/1986,5.4,2.38,6.73,30.73,24,100.82,13.38,86.24,24.14,1
9/30/1986,4.87,2.18,6.75,30.31,23.56,100.8,17.11,87.95,24.17,1
10/1/1986,2.88,1.71,6.53,29.78,23.25,100.98,15.24,88.26,23.98,1
10/2/1986,1.78,0.95,6.63,30.16,23.53,101.12,18.3,84.52,23.52,1
10/3/1986,11.24,1.17,6.32,29.96,23.64,101.1,20.44,84.85,24.02,1
10/4/1986,3.56,1.44,3.68,27.79,24.11,101.06,20.71,91.27,24.09,1
10/5/1986,5.49,1.48,7.1,30.32,23.22,100.96,18.3,85.67,23.72,1
10/6/1986,3.43,3.1,5.4,29.48,24.08,100.98,18.3,88.37,24.15,1
10/7/1986,3.96,1.44,7.37,30.57,23.2,100.96,19.2,87,23.91,1
10/8/1986,27.64,1.32,7.37,30.87,23.5,100.8,21.81,87.24,24.4,1
10/9/1986,11.73,2.07,6.13,30.67,24.54,100.81,20.35,87.02,24.54,1
10/10/1986,2.31,1.57,6.03,30.19,24.16,100.89,19.3,88.56,24.48,1
10/11/1986,2.54,1.68,5.26,29.65,24.39,100.91,21.27,87.91,24.24,1
10/12/1986,2.2,0.74,6.17,30,23.83,101,18.3,83.23,23.77,1
10/13/1986,1.74,0.99,5.33,30.1,24.77,101.03,17.56,84.11,24.04,1
10/14/1986,1.75,1.65,6.5,30.15,23.65,101.04,17.01,87.58,24.27,1
10/15/1986,1.61,0.9,6.27,29.72,23.45,101.02,18.93,83.51,23.5,1
10/16/1986,1.71,1.09,7.17,30.88,23.71,100.87,20.22,83.31,23.98,1
10/17/1986,4.83,1.32,5.41,29.65,24.24,100.79,11.82,86.25,24.12,1
10/18/1986,10,0.86,5.54,29.49,23.95,100.79,20.6,86.98,24.12,1
10/19/1986,6.47,1.13,5.99,30.23,24.24,100.88,20.23,86.34,24.49,1
10/20/1986,3.76,0.98,5.73,29.81,24.08,100.93,20.56,86.55,24.09,1
10/21/1986,0.08,0.8,6.22,29.79,23.57,100.79,20.62,84.01,23.79,1
10/22/1986,2.01,1.64,6.18,29.96,23.78,100.63,18.65,88.01,24.46,1
10/23/1986,1.5,1.16,5.19,29.19,24,100.77,19.36,87.32,24.18,1
10/24/1986,11.1,1.67,7.74,31.1,23.36,100.89,16.53,85.12,24.03,1
10/25/1986,5.05,1.25,6.53,30.72,24.19,101.06,18.86,87.05,24.59,1
10/26/1986,3.46,1.17,4.93,29.53,24.6,100.99,20.36,89.61,24.7,1
10/27/1986,2.3,1.11,7.47,31.22,23.75,100.87,20.19,83.27,23.6,1
10/28/1986,4.7,1.13,8.95,31.07,22.12,100.89,21.53,78.9,22.29,1
10/29/1986,4.54,1.65,7.86,30.92,23.06,100.98,18.4,83.1,23.38,1
10/30/1986,0,1.99,7.02,30.49,23.47,100.98,20.87,85.94,23.99,0
10/31/1986,0.7,1.93,5.61,29.76,24.15,100.83,20.55,87.59,24.3,1
11/1/1986,1.03,2.62,7.43,30.74,23.31,100.76,22.05,85.07,23.62,1
11/2/1986,0.22,1.58,5.22,28.49,23.27,100.84,20.92,85.11,22.92,1
11/3/1986,6.72,1.06,6.81,30.77,23.96,100.85,21.3,84.42,23.98,1
11/4/1986,17.05,1.46,5.81,29.86,24.05,100.95,20.12,85.26,23.4,1
11/5/1986,1.89,1.55,8.43,30.84,22.41,100.98,19.37,83.26,22.86,1
11/6/1986,0,1.51,7.81,30.72,22.91,100.95,20.02,82.57,22.99,0
11/7/1986,0,1.43,8.81,31.02,22.21,100.86,21.64,81.2,23.16,0
11/8/1986,0.2,1.71,8.13,30.75,22.62,100.83,21.64,81.55,22.91,1
